,댓글
342,Much respect for ya boss!! 🔥🔥🔥
343,u owe nobody an explanation?? i mean u’ve presented some proofs that u’ve been workin on this for the past few months. it’s understandable that some can have similarities and i don’t get why u get so much hate on this? i hope other people would understand. thanks for explaining everything and i hope u r doing good 🥺❤️ stay safe!
344,We understand. I also apologized for jumping into conclusion that you copied it when I said it looks like Mino's...was really wrong of me with that. The fans should take responsibility to admit their mistake too. You're a friend of Mino and I hope this won't be a reason for you two to be awkward with each other. I apologize you have to experience this from our fandom.
345,발음 지리노
346,Respect👍🏼
347,You are a good rapper with a good heart ❤️don’t worry about people with a black heart they’re need to clean Their heart👍🏻👍🏻
348,please do some asmr shit videos in your channel FOR REAL
349,❤️😊
350,🔥🔥❤️
351,"Thank you for speaking up. But it’s weird that not only the color but the concept, design and font are VERY SIMILAR. The designers must have same taste 🤡"
352,Fan can question. Those are similar you have to agree. Thank you for clearing out though.
353,귀여워 그냥 다
354,"Thank you, this some big boss energy!! ❤️❤️❤️"
355,아 목소리가 왜케 멋있냐
356,👍
357,"All these years watching you on SMTM and never knew how good your English was, wow❤️"
358,🔥
359,"I don't understand why people keep blaming a good man like Swings, you're the best💪"
360,"thank you for your clearing, and I am sorry for the last comment for you. HEAT fighting! - from a fan of MINO"
361,@_christianwoo he is so good at english
362,@sseung_jun_ 윙스형😂
363,@19parea99
364,@miumiuuuuuugirl
365,@itsjustswings 형님 항상응원합니다🔥🔥@kseohee__
366,You’re the best🔥
367,@jghkle ㅠㅠ
368,Congrats on the book!!!
369,no big deal but the people making it seem like it is are just giving you free promo 😋
370,괜차나 괜차나아 🧡
371,흠
372,ㅋㅋㅋㅋㅋㅋ
373,멋있어
374,baby🥺🥺 you did well
375,Where's black nut? Can you exonerate him?
376,저 스윙스님 엄청좋아해서 인스타를 보는데 영어를 다 못알인 듣겠어요 스윙스 파이팅
377,"It's all good, we will still support your book 😍"
378,Happy birthday once again🎂
379,Thats a good move .... Its better to clear things up rather than listening to people talking shit
380,"This is why I love swings. Swings is honest, a true man. He see a hot topic about him he talk, he clarified he proves. That why he’s the king 👑"
381,You good 😭 they tripping
382,👍👍
383,👏👏🔥
384,Stay strong! Just ignore the haters.
385,🙌
386,Those international fan comments are so funny ㅋㅋㅋㅋㅋㅋ
387,"I saw Swings has another book. On the cover there’s simple bold text on a solid background too. Considering his preference for his first book, this new design might just be how he likes to do his books. People just needa hop off his d*** 🤷🏻‍♂️ idk I just think it’s unfair if he woulda had to change something he likes and worked hard on for a while just because of an unlucky coincidence"
388,real 남자
389,It happens sometimes. It’s okay. It’s not a big deal👍🏻👍🏻👍🏻 We can’t read people’s mind. I love both of you❤️
390,❤️🔥
391,@hziny___ 진지한데 영어발음에 치이네..🤭
392,@sayeunlove 엄마 이거 봐봐
393,베스트셀러 작가님~~
394,"Thank you for the clarification. As WINNER fan, I really appreciate this video. Best of luck with your album."
395,Haters gonna hate without valid reason...you do your thing 🔥❤️...we love you
396,????
397,gotcha man👏
398,Your book looks cool I wonder if it will be available in America. I need to get one
399,송민호 앨범커버 보고 오니까 꽤 비슷한 거 같긴 한데 애초에 커버 특징이 오렌지색 배경 위에 검은 글씨가 다임 되게 심플함 그냥 우연히 겹친 듯
400,아니 색깔이랑 폰트는 둘째치고 이름에 원까지 똑같다는게 말이됨?
401,👏👏👏❤️
402,@jang_seo_nu 해석하면 5억
403,"Thank you swings. Huge fan of yours and all 3 label. IMJMWDP’s music has been so insane in quality, experimentation, and the artists are all so dope. Appreciate you man, respect from Texas/NM"
404,"As an Inner Circle I’m glad you addressed this. I still think it’s fair the similarity was questioned (not only by IC but by the general public as well, what people seem to forget) since MINO put his heart and soul in this album. IC is a chill fandom tho so most of us now believe it’s just an unfortunate coincidence. Thanks again, best of luck!"
405,Don't worry boo these things happen 💕 Don't let the turkeys get ya down.
406,Glad to hear you clearing that situation up! It sounds sincere not like some other rappers...
407,❤️❤️
408,쇼미잘보고있어요
409,I'm happy you addressed this 💯
410,@anzahyeon @집
411,"Congrats on your book 🙌🏻, ignore the hate, pa delante swings ♥️"
412,깝치지 말고 조용히 짜그러져 살면 안됨?
413,We love you swings ♥️♥️♥️
414,"People will try to do anything and everything to bring you down, but they can’t. Thank you for being you. Much blessings to you and I will be purchasing this book when it’s available here in the US. @itsjustswings"
415,"Don’t care about what people say, there is not a patent in the choice of a cover, you do absolutely what you want, people who accuses you of copying are not more than 17 years old and are ridiculous, you don’t have to justify yourself, you do and did a good work and you are an amazing artist, I hope you will be able to sell as many copies of your beautiful project"
416,@nasein2725 장호준샘 닮았지 않냐
417,Where is the evidence the data? I dont see it on ur story
418,@mang_ji73 LOL
419,@_you_jung_o_o He is a champion
420,@mang_ji73 we are not champion
421,문지후이는 이제 걍 위인 레벨에 다가갔서 💪
